tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,score
tt4535672,short,Insanlik Tarihinin Ilk Günü,Insanlik Tarihinin Ilk Günü,0,2015.0,,44.0,"['Crime', 'Drama', 'Short']",6.4,14,6.804832111881692
tt2190292,tvEpisode,Love Is Love,Love Is Love,0,2012.0,,44.0,"['Comedy', 'Drama', 'Family']",5.9,27,6.731539856200199
tt1519141,tvEpisode,Go Go Ludicolo,Go Go Ludicolo,0,2004.0,,22.0,"['Action', 'Adventure', 'Animation']",6.7,53,6.805227670876777
tt4771616,tvEpisode,George's Curious Dragon Dance/Bowling for Bobolinks,George's Curious Dragon Dance/Bowling for Bobolinks,0,2015.0,,23.0,"['Adventure', 'Animation', 'Comedy']",7.2,5,6.8374965948173125
tt0557241,tvEpisode,The Benefactor,The Benefactor,0,1962.0,,60.0,[],8.6,22,6.9847577816225135
tt9130380,tvEpisode,Invictus,Invictus,0,2018.0,,23.0,"['Action', 'Adventure', 'Animation']",8.8,16,6.958262053825514
tt0125527,movie,"Takt, tone og tosser","Takt, tone og tosser",0,1925.0,,103.0,[],6.8,10,6.828343946390171
tt0532620,tvEpisode,Volunteers from Aberdeen,Volunteers from Aberdeen,0,1960.0,,60.0,[],8.0,22,6.932168140188251
tt3734546,movie,The Human Zoo,The Human Zoo,0,2011.0,,93.0,"['Documentary', 'History']",8.0,7,6.86429747113242
tt4354146,movie,Cheerleader Camp: To the Death,Cheerleader Camp: To the Death,0,2014.0,,70.0,[],3.5,57,6.1659937174379404
tt3243764,movie,Koinonia,Koinonia,0,2014.0,,94.0,"['Adventure', 'Drama', 'Mystery']",7.0,18,6.84200082262045
tt3323560,tvEpisode,The Furies,The Furies,0,2013.0,,43.0,"['Adventure', 'Drama', 'Fantasy']",7.2,170,6.9874040180131605
tt1093822,tvMovie,Dounreay: The Atomic Dream,Dounreay: The Atomic Dream,0,2006.0,,60.0,[],7.8,5,6.850317107637825
tt5987506,movie,Dong-chang-ho-eui mok-jeok,Dong-chang-ho-eui mok-jeok,0,2015.0,,101.0,"['Drama', 'Romance']",5.6,69,6.544879876467285
tt3214932,tvMovie,What Would You Do for Love,What Would You Do for Love,0,2013.0,,88.0,[],7.2,55,6.9013176168565185
tt0065802,movie,Guess What We Learned in School Today?,Guess What We Learned in School Today?,0,1970.0,,96.0,[],4.5,131,5.981872786631253
tt4918278,short,Bacon & God's Wrath,Bacon & God's Wrath,0,2015.0,,8.0,"['Animation', 'Documentary', 'Family']",7.3,75,6.945638826273852
tt1381767,video,Flicka 2,Flicka 2,0,2010.0,,96.0,[],6.0,1467,6.112013091501916
